item_id,Brand Name,Generic Name,Category
ITM_6845,Xolido,lidocaine hydrochloride 20 MG/ML Topical Cream,Skin/Topical
ITM_6846,Vaporex,camphor / Eucalyptus oil / menthol Topical Ointment,Skin/Topical
ITM_6847,Vaporex,camphor 0.048 MG/MG / Eucalyptus oil 0.012 MG/MG / menthol 0.026 MG/MG Topical Ointment,Skin/Topical
ITM_6848,Doloracin with Lidocaine,capsaicin / lidocaine / menthol / methyl salicylate Topical Cream,Skin/Topical
ITM_6849,Doloracin with Lidocaine,capsaicin 0.35 MG/ML / lidocaine 20 MG/ML / menthol 50 MG/ML / methyl salicylate 200 MG/ML Topical Cream,Skin/Topical
ITM_6850,BuTrans,168 HR buprenorphine 0.015 MG/HR Transdermal System,Other
ITM_6851,Fetzima,levomilnacipran Extended Release Oral Capsule,Other
ITM_6852,Fetzima,24 HR levomilnacipran 120 MG Extended Release Oral Capsule,Other
ITM_6853,Fetzima,24 HR levomilnacipran 20 MG Extended Release Oral Capsule,Other
ITM_6854,Fetzima,24 HR levomilnacipran 40 MG Extended Release Oral Capsule,Other
ITM_6855,Fetzima,24 HR levomilnacipran 80 MG Extended Release Oral Capsule,Other
ITM_6856,Naftin,naftifine hydrochloride 0.02 MG/MG Topical Gel,Skin/Topical
ITM_6857,Fioricet with Codeine,acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule,Other
ITM_6858,Tivicay,dolutegravir Oral Tablet,Other
ITM_6859,Tivicay,dolutegravir 50 MG Oral Tablet,Other
ITM_6860,Tru-micin,trolamine salicylate Topical Lotion,Skin/Topical
ITM_6861,Tru-micin,trolamine salicylate 100 MG/ML Topical Lotion,Skin/Topical
ITM_6862,Docusol Plus,benzocaine / docusate Enema,Other
ITM_6863,Docusol Plus,benzocaine 4 MG/ML / docusate sodium 56.6 MG/ML Enema,Other
ITM_6864,Forteo,28 ACTUAT teriparatide 0.02 MG/ACTUAT Pen Injector,Other
ITM_6865,Injectafer,15 ML ferric carboxymaltose 50 MG/ML Injection,Other
ITM_6866,Khedezla,desvenlafaxine Extended Release Oral Tablet,Other
ITM_6867,Khedezla,24 HR desvenlafaxine 100 MG Extended Release Oral Tablet,Other
ITM_6868,Khedezla,24 HR desvenlafaxine 50 MG Extended Release Oral Tablet,Other
ITM_6869,Gelato Perio Rinse,stannous fluoride Mouthwash,Skin/Topical
ITM_6870,Gelato Perio Rinse,stannous fluoride 6.3 MG/ML Mouthwash,Skin/Topical
ITM_6871,Epaned,enalapril Oral Solution,Other
ITM_6872,Epaned,enalapril maleate 1 MG/ML Oral Solution,Other
ITM_6873,Transanosil,capsaicin / menthol / methyl salicylate Topical Lotion,Skin/Topical
ITM_6874,Transanosil,capsaicin 0.25 MG/ML / menthol 100 MG/ML / methyl salicylate 300 MG/ML Topical Lotion,Skin/Topical
ITM_6875,Decara,cholecalciferol Oral Capsule,Other
ITM_6876,Decara,cholecalciferol 0.625 MG Oral Capsule,Other
ITM_6877,Trokendi,topiramate Extended Release Oral Capsule,Other
ITM_6878,Trokendi,24 HR topiramate 50 MG Extended Release Oral Capsule,Other
ITM_6879,Medi-Derm,capsaicin 0.35 MG/ML / menthol 50 MG/ML / methyl salicylate 200 MG/ML Topical Cream,Skin/Topical
ITM_6880,Utopic,urea Topical Cream,Skin/Topical
ITM_6881,Utopic,urea 410 MG/ML Topical Cream,Skin/Topical
ITM_6882,SelRx,selenium sulfide Medicated Shampoo,Skin/Topical
ITM_6883,SelRx,selenium sulfide 23 MG/ML Medicated Shampoo,Skin/Topical
ITM_6884,Vytone,hydrocortisone acetate 19 MG/ML / iodoquinol 10 MG/ML Topical Cream,Skin/Topical
ITM_6885,Mirvaso,brimonidine Topical Gel,Skin/Topical
ITM_6886,WP Thyroid,thyroid (USP) Oral Tablet,Other
ITM_6887,WP Thyroid,thyroid (USP) 130 MG Oral Tablet,Other
ITM_6888,WP Thyroid,thyroid (USP) 32.5 MG Oral Tablet,Other
